Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C6,C11,C9,C12,C13,C19,C18,C21,C15,C17,C29,C22,C23",13,100nF,0603,CL10B104KA8NNNC,Samsung Electro-Mechanics,C1590,,,,,,Huella asignada; consolidar propiedades al cerrar BOM.
"C8,C5,C28",3,10uF,0805,CL21A106KPFNNNE,Samsung Electro-Mechanics,C17024,,,,,,
"C10,C7,C16,C14",4,4.7uF,0805,CC0805KKX5R6BB475,YAGEO,C107125,,,,,,
C20,1,1uF,0603,0603B105K160CT,Walsin Technology,C108463,,,,,,Huella asignada; consolidar propiedades al cerrar BOM.
"C30,C31",2,22uF,0805,CL21A226MAQNNNE,Samsung Electro-Mechanics,C45783,,,,,,
"D5,D2",2,SP0503BAHTG,SOT-143,SP0503BAHTG,Littelfuse,C3040626,,,http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf,,,
"D8,D9,D7",3,SS14,SMA,SS14,Yangzhou Yangjie Electronic Technology,C2480,,,https://www.vishay.com/docs/88746/ss12.pdf,,,
FB1,1,600R@100MHz,0603,GZ1608D601TF,Sunlord,C1002,,,,,,
J1,1,Debug_U0,PinHeader_1x06_P2.54mm_Vertical,Header generico THT 1x06 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
J4,1,Uart1,PinHeader_1x03_P2.54mm_Vertical,Header generico THT 1x03 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
J5,1,5V_IN,PinHeader_1x02_P2.54mm_Vertical,Header manual THT 1x02 P2.54 mm,Compra manual,,,,,,,"Entrada de 5V. Montaje manual: header THT vertical 1x02, paso 2.54 mm. Excluir de BOM y CPL de ensamblaje JLCPCB."
J6,1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,Header manual THT 2x04 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
"J7,J11,J8",3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,Header manual THT 1x02 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
"J9,J10",2,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,Header manual THT 1x06 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
"J14,J13,J12,J2",4,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,Header manual THT 1x04 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
J15,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,Header manual THT 1x03 P2.54 mm,Compra manual,,,,,,,Montaje manual THT; excluir de BOM y CPL JLCPCB.
