Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C6,C7,C12,C13,C19,C18,C21,C15,C20,C17,C22,C23",12,100nF,0603,CC0603KRX7R9BB104,Yageo,C14663,,,,,,Huella asignada; consolidar propiedades al cerrar BOM.
"C8,C5,C28",3,10uF,0805,CL21A106KPFNNNE,Samsung Electro-Mechanics,C17024,,,,,,
"C16,C14",2,4.7uF,0805,CC0805KKX5R6BB475,YAGEO,C107125,,,,,,
C30,1,22uF,CP_EIA-3528-21_Kemet-B,T491B226K010AT,KEMET,C117030,,,https://content.kemet.com/datasheets/KEM_T2005_T491.pdf,,,
D1,1,SM712-02HTG,SOT-23,SM712-02HTG,DOWO,C5449363,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf,,,
D5,1,SP0503BAHTG,SOT-143,SP0503BAHTG,Littelfuse,C3040626,,,http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf,,,
"D9,D7",2,SS14,SMA,SS14,Yangzhou Yangjie Electronic Technology,C2480,,,https://www.vishay.com/docs/88746/ss12.pdf,,,
FB1,1,600R@100MHz,0603,GZ1608D601TF,Sunlord,C1002,,,,,,
J16,1,USB_NATIVO,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,GT-USB-7010ASV,G-Switch,C2988369,,,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,,,
"R17,R19",2,47k,0603,0603WAF4702T5E,UNI-ROYAL,C25819,,,,,,
"R20,R11,R18",3,330,0603,0603WAF3300T5E,Walsin Technology,C23138,,,,,,Huella asignada.
"R21,R2,R3",3,4.7k,0603,0603WAF4701T5E,Walsin Technology,C23162,,,,,,Huella asignada.
"R23,R22,R37,R24,R13,R1,R14,R16,R36,R12,R15,R34",12,10k,0603,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,,,,,,Huella asignada.
"R25,R26",2,5.1k,0603,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),C23186,,,,,,
"R28,R27",2,22,0603,0603WAF220JT5E,Walsin Technology,C23345,,,,,,
"R33,R30,R32,R31,R29",5,1k,0603,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),C21190,,,,,,Huella asignada.
R35,1,100k,0603,0603WAF1003T5E,Walsin Technology,C25803,,,,,,
"SW1,SW2",2,,Switch-Definitivo,TS-1187A-B-A-B,XKB Connection,C318884,,,http://www.helloxkb.com/uploads/qingchukaiguan/TS-1187A-X-X-X.pdf,,,
U1,1,AMS1117CD-3.3,TO-252-3_TabPin2,AMS1117CD-3.3,Advanced Monolithic Systems,C841796,,,http://www.advanced-monolithic.com/pdf/ds1117.pdf,,,
U2,1,SP3485EN,SOIC-8_3.9x4.9mm_P1.27mm,SP3485EN-L/TR,MaxLinear,C8963,,,http://www.icbase.com/pdf/SPX/SPX00480106.pdf,,,
U4,1,BMI088,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,BMI088,Bosch Sensortec,C194919,,,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf,,,
U5,1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,SN74HC595DR,Texas Instruments,C10092,,,http://www.ti.com/lit/ds/symlink/sn74hc595.pdf,,,Montaje SMD JLCPCB.
U6,1,ULN2003A,SOIC-16_3.9x9.9mm_P1.27mm,ULN2003BDR,Texas Instruments,C157485,,,http://www.ti.com/lit/ds/symlink/uln2003a.pdf,,,Montaje SMD JLCPCB.
U7,1,LM358,SOIC-8_3.9x4.9mm_P1.27mm,LM358DR,Texas Instruments,C5423,,,http://www.ti.com/lit/ds/symlink/lm2904-n.pdf,,,Montaje SMD JLCPCB.
U8,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N8R2,Espressif Systems,C2913204,,,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,,,"Modulo Wi-Fi/BLE SMD; mantener libre de cobre y componentes el keep-out de antena indicado por Espressif. JLCPCB: Extended, Standard PCBA."
