Comment,Designator,Footprint,LCSC Part #
100nF,"C6,C7,C12,C13,C19,C18,C21,C15,C17,C22,C23",0603,C1590
10uF,"C8,C5,C28",0805,C17024
4.7uF,"C16,C14",0805,C107125
1uF,C20,0603,C108463
22uF,C30,CP_EIA-3528-21_Kemet-B,C117030
SM712-02HTG,D1,SOT-23,C5449363
SP0503BAHTG,D5,SOT-143,C3040626
SS14,"D9,D7",SMA,C2480
600R@100MHz,FB1,0603,C1002
USB_NATIVO,J16,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
4.7k,"R17,R21,R2,R3",0603,C23162
47k,R19,0603,C25819
330,"R20,R11,R18",0603,C23138
10k,"R23,R22,R37,R24,R13,R1,R14,R16,R36,R12,R15,R34",0603,C25804
5.1k,"R25,R26",0603,C23186
22,"R28,R27",0603,C23345
1k,"R33,R30,R32,R31,R29",0603,C21190
100k,R35,0603,C25803
,"SW1,SW2",Switch-Definitivo,C318884
AMS1117CD-3.3,U1,TO-252-3_TabPin2,C841796
SP3485EN,U2,SOIC-8_3.9x4.9mm_P1.27mm,C8963
BMI088,U4,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,C194919
74HC595,U5,SOIC-16_3.9x9.9mm_P1.27mm,C10092
ULN2003A,U6,SOIC-16_3.9x9.9mm_P1.27mm,C157485
LM358,U7,SOIC-8_3.9x4.9mm_P1.27mm,C5423
ESP32-S3-WROOM-1,U8,ESP32-S3-WROOM-1,C2913204
