Designator,Mid X,Mid Y,Layer,Rotation
C30,105.500000mm,-70.710000mm,Top,-90.000
D1,61.625000mm,-117.800000mm,Top,180.000
D5,138.750000mm,-138.300000mm,Top,-90.000
D7,79.400000mm,-72.450000mm,Top,0.000
D9,79.450000mm,-76.650000mm,Top,0.000
J16,133.100000mm,-146.135000mm,Top,0.000
SW1,64.100000mm,-142.375000mm,Top,180.000
SW2,127.150000mm,-125.500000mm,Top,-90.000
U1,99.050000mm,-69.700000mm,Top,0.000
U2,62.625000mm,-122.957500mm,Top,270.000
U4,100.250000mm,-108.550000mm,Top,90.000
U5,111.062500mm,-101.300000mm,Top,0.000
U6,124.800000mm,-93.000000mm,Top,90.000
U7,79.450000mm,-93.050000mm,Top,90.000
U8,98.325000mm,-137.000000mm,Top,180.000
