LCSC Part #,Comment,Designator,Needed for 5 boards,Stock,Basic,MPN,Manufacturer,Status
C1590,100nF,"C6,C7,C12,C13,C19,C18,C21,C15,C17,C22,C23",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C17024,10uF,"C8,C5,C28",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C107125,4.7uF,"C16,C14",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C108463,1uF,C20,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C117030,22uF,C30,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C5449363,SM712-02HTG,D1,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C3040626,SP0503BAHTG,D5,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C2480,SS14,"D9,D7",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C1002,600R@100MHz,FB1,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C2988369,USB_NATIVO,J16,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C23162,4.7k,"R17,R21,R2,R3",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C25819,47k,R19,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C23138,330,"R20,R11,R18",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C25804,10k,"R23,R22,R37,R24,R13,R1,R14,R16,R36,R12,R15,R34",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C23186,5.1k,"R25,R26",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C23345,22,"R28,R27",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C21190,1k,"R33,R30,R32,R31,R29",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C25803,100k,R35,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C318884,,"SW1,SW2",,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C841796,AMS1117CD-3.3,U1,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C8963,SP3485EN,U2,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C194919,BMI088,U4,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C10092,74HC595,U5,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C157485,ULN2003A,U6,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C5423,LM358,U7,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
C2913204,ESP32-S3-WROOM-1,U8,,,,,,QUERY ERROR: HTTP Error 403: Forbidden
