Comment,Designator,Footprint,JLCPCB Part #（optional）
600R@100MHz,FB1,0603,C1002
74HC595,U5,SOIC-16_3.9x9.9mm_P1.27mm,C10092
4.7uF,"C10,C14,C16,C7",0805,C107125
1uF,C20,0603,C108463
ULN2003A,U6,SOIC-16_3.9x9.9mm_P1.27mm,C157485
100nF,"C11,C12,C13,C15,C17,C18,C19,C21,C22,C23,C29,C6,C9",0603,C1590
10uF,"C28,C5,C8",0805,C17024
4.7uH,L2,Changjiang_FXL0530,C177246
BMI088,U4,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,C194919
1k,"R10,R29,R30,R31,R32,R33",0603,C21190
SS8050,"Q3,Q4",SOT-23,C2150
47.5k,R7,0603,C23061
330,"R11,R18,R20",0603,C23138
4.7k,"R17,R2,R21,R3",0603,C23162
5.1k,"R25,R26,R4,R5",0603,C23186
22,"R27,R28",0603,C23345
SS14,"D7,D8,D9",SMA,C2480
100k,R35,0603,C25803
10k,"R1,R12,R13,R14,R15,R16,R22,R23,R24,R34,R36,R8,R9",0603,C25804
47k,R19,0603,C25819
22.1k,R6,0603,C25961
ESP32-S3-WROOM-1,U8,ESP32-S3-WROOM-1,C2913204
USB_NATIVO,J16,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
USB_UART0,J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
SP0503BAHTG,"D2,D5",SOT-143,C3040626
22uF,"C30,C31",0805,C45783
LM358,U7,SOIC-8_3.9x4.9mm_P1.27mm,C5423
AP63203WU,U9,TSOT-23-6,C780769
0,R38,0805,C96345
CP2102N-A02-GQFN24,U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151
