Designator,Mid X,Mid Y,Layer,Rotation
C5,111.450000mm,141.250000mm,Top,270
C6,109.450000mm,141.450000mm,Top,270
C7,71.000000mm,125.450000mm,Top,180
C8,111.450000mm,137.750000mm,Top,90
C9,70.800000mm,123.650000mm,Top,0
C10,65.750000mm,121.500000mm,Top,90
C11,67.700000mm,121.250000mm,Top,270
C12,100.950000mm,112.200000mm,Top,90
C13,99.200000mm,104.450000mm,Top,90
C14,95.000000mm,107.600000mm,Top,0
C15,56.900000mm,78.650000mm,Top,90
C16,58.900000mm,78.550000mm,Top,270
C17,86.400000mm,142.050000mm,Top,270
C18,85.750000mm,137.850000mm,Top,90
C19,118.450000mm,104.750000mm,Top,0
C20,72.600000mm,93.900000mm,Top,180
C21,85.300000mm,92.800000mm,Top,270
C22,117.250000mm,69.800000mm,Top,270
C23,91.550000mm,70.050000mm,Top,270
C28,87.300000mm,70.000000mm,Top,270
C29,97.370000mm,73.700000mm,Top,180
C30,106.710000mm,71.250000mm,Top,270
C31,103.700000mm,71.250000mm,Top,270
D2,62.000000mm,123.000000mm,Top,0
D5,138.750000mm,138.300000mm,Top,270
D7,79.400000mm,63.700000mm,Top,180
D8,79.400000mm,70.100000mm,Top,180
D9,79.450000mm,76.650000mm,Top,180
FB1,95.050000mm,105.350000mm,Top,180
J3,54.365000mm,119.600000mm,Top,270
J16,133.100000mm,146.135000mm,Top,0
L2,98.680000mm,77.750000mm,Top,0
Q3,79.650000mm,119.300000mm,Top,0
Q4,79.550000mm,124.750000mm,Top,0
R1,134.025000mm,58.100000mm,Top,180
R2,83.400000mm,141.250000mm,Top,0
R3,83.450000mm,139.500000mm,Top,0
R4,62.650000mm,114.350000mm,Top,0
R5,62.450000mm,126.000000mm,Top,0
R6,68.750000mm,127.300000mm,Top,0
R7,74.050000mm,127.300000mm,Top,0
R8,76.000000mm,116.150000mm,Top,0
R9,76.100000mm,118.900000mm,Top,0
R10,72.600000mm,129.800000mm,Top,0
R11,85.100000mm,135.000000mm,Top,180
R12,73.650000mm,134.975000mm,Top,270
R13,101.750000mm,104.450000mm,Top,270
R14,95.900000mm,109.800000mm,Top,0
R15,106.900000mm,107.400000mm,Top,270
R16,101.650000mm,88.800000mm,Top,90
R17,95.100000mm,119.800000mm,Top,90
R18,72.750000mm,91.550000mm,Top,180
R19,57.050000mm,69.150000mm,Top,270
R20,85.100000mm,133.400000mm,Top,180
R21,114.600000mm,132.100000mm,Top,180
R22,113.550000mm,137.850000mm,Top,90
R23,86.550000mm,123.500000mm,Top,90
R24,123.900000mm,132.350000mm,Top,0
R25,131.340000mm,138.560000mm,Top,90
R26,133.860000mm,138.440000mm,Top,90
R27,112.160000mm,125.820000mm,Top,0
R28,112.150000mm,127.410000mm,Top,0
R29,110.425000mm,130.850000mm,Top,180
R30,110.425000mm,129.250000mm,Top,180
R31,87.460000mm,109.525000mm,Top,270
R32,84.950000mm,109.525000mm,Top,270
R33,82.440000mm,109.525000mm,Top,270
R34,101.825000mm,100.550000mm,Top,0
R35,96.750000mm,119.800000mm,Top,270
R36,70.950000mm,133.725000mm,Top,270
R38,111.350000mm,69.000000mm,Top,0
U3,71.350000mm,119.200000mm,Top,0
U4,100.250000mm,108.550000mm,Top,0
U5,111.062500mm,101.300000mm,Top,270
U6,124.800000mm,93.000000mm,Top,0
U7,79.450000mm,93.050000mm,Top,0
U8,98.325000mm,137.000000mm,Top,180
U9,96.650000mm,69.850000mm,Top,270
