Comment,Designator,Footprint,JLCPCB Part #（optional）
10uF,"C5,C8,C28",C_0805_2012Metric,C17024
100nF,"C6,C12,C13,C15,C17,C18,C19,C21,C22,C23",C_0603_1608Metric,C1590
4.7uF,"C14,C16",C_0805_2012Metric,C107125
1uF,C20,C_0603_1608Metric,C108463
22uF,C30,CP_EIA-3528-21_Kemet-B,C117030
SP0503BAHTG,D5,SOT-143,C3040626
SS14,"D7,D9",D_SMA,C2480
600R@100MHz,FB1,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C1002
USB_NATIVO,J16,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
10k,"R1,R12,R15,R16,R24,R34,R36",R_0603_1608Metric,C25804
4.7k,"R2,R3,R17,R21",R_0603_1608Metric,C23162
330,"R11,R18,R20",R_0603_1608Metric,C23138
10k,"R13,R14,R22,R23",R_0603_1608Metric,C25804
47k,R19,R_0603_1608Metric,C25819
5.1k,"R25,R26",R_0603_1608Metric,C23186
22,"R27,R28",R_0603_1608Metric,C23345
1k,"R29,R30,R31,R32,R33",R_0603_1608Metric,C21190
100k,R35,R_0603_1608Metric,C25803
,"SW1,SW2",Switch-Definitivo,C318884
AMS1117CD-3.3,U1,TO-252-3_TabPin2,C841796
BMI088,U4,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,C194919
74HC595,U5,SOIC-16_3.9x9.9mm_P1.27mm,C10092
ULN2003A,U6,SOIC-16_3.9x9.9mm_P1.27mm,C157485
LM358,U7,SOIC-8_3.9x4.9mm_P1.27mm,C5423
ESP32-S3-WROOM-1,U8,ESP32-S3-WROOM-1,C2913204
