Ref,Val,Package,PosX,PosY,Rot,Side
"C5","10uF","C_0805_2012Metric",111.450000,-141.250000,-90.000000,top
"C6","100nF","C_0603_1608Metric",109.450000,-141.450000,-90.000000,top
"C8","10uF","C_0805_2012Metric",111.450000,-137.750000,90.000000,top
"C12","100nF","C_0603_1608Metric",100.950000,-112.200000,90.000000,top
"C13","100nF","C_0603_1608Metric",99.200000,-104.450000,90.000000,top
"C14","4.7uF","C_0805_2012Metric",95.000000,-107.600000,0.000000,top
"C15","100nF","C_0603_1608Metric",56.900000,-78.650000,90.000000,top
"C16","4.7uF","C_0805_2012Metric",58.900000,-78.550000,-90.000000,top
"C17","100nF","C_0603_1608Metric",86.400000,-142.050000,-90.000000,top
"C18","100nF","C_0603_1608Metric",85.750000,-137.850000,90.000000,top
"C19","100nF","C_0603_1608Metric",118.450000,-104.750000,0.000000,top
"C20","1uF","C_0603_1608Metric",72.600000,-93.900000,180.000000,top
"C21","100nF","C_0603_1608Metric",85.300000,-92.800000,-90.000000,top
"C22","100nF","C_0603_1608Metric",117.250000,-69.800000,-90.000000,top
"C23","100nF","C_0603_1608Metric",93.675000,-74.700000,-90.000000,top
"C28","10uF","C_0805_2012Metric",91.600000,-72.950000,-90.000000,top
"C30","22uF","CP_EIA-3528-21_Kemet-B",105.500000,-70.710000,-90.000000,top
"D5","SP0503BAHTG","SOT-143",138.750000,-138.300000,-90.000000,top
"D7","SS14","D_SMA",79.400000,-72.450000,180.000000,top
"D9","SS14","D_SMA",79.450000,-76.650000,180.000000,top
"FB1","600R@100MHz","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.050000,-105.350000,180.000000,top
"J16","USB_NATIVO","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",133.100000,-146.135000,0.000000,top
"R1","10k","R_0603_1608Metric",134.025000,-58.100000,180.000000,top
"R2","4.7k","R_0603_1608Metric",83.400000,-141.250000,0.000000,top
"R3","4.7k","R_0603_1608Metric",83.450000,-139.500000,0.000000,top
"R11","330","R_0603_1608Metric",85.100000,-135.000000,180.000000,top
"R12","10k","R_0603_1608Metric",73.650000,-134.975000,-90.000000,top
"R13","10k","R_0603_1608Metric",101.750000,-104.450000,-90.000000,top
"R14","10k","R_0603_1608Metric",95.900000,-109.800000,0.000000,top
"R15","10k","R_0603_1608Metric",106.900000,-107.400000,-90.000000,top
"R16","10k","R_0603_1608Metric",101.650000,-88.800000,90.000000,top
"R17","4.7k","R_0603_1608Metric",95.100000,-119.800000,90.000000,top
"R18","330","R_0603_1608Metric",72.750000,-91.550000,180.000000,top
"R19","47k","R_0603_1608Metric",57.050000,-69.150000,-90.000000,top
"R20","330","R_0603_1608Metric",85.100000,-133.400000,180.000000,top
"R21","4.7k","R_0603_1608Metric",114.600000,-132.100000,180.000000,top
"R22","10k","R_0603_1608Metric",113.550000,-137.850000,90.000000,top
"R23","10k","R_0603_1608Metric",86.550000,-123.500000,90.000000,top
"R24","10k","R_0603_1608Metric",123.900000,-132.350000,0.000000,top
"R25","5.1k","R_0603_1608Metric",131.340000,-138.560000,90.000000,top
"R26","5.1k","R_0603_1608Metric",133.860000,-138.440000,90.000000,top
"R27","22","R_0603_1608Metric",112.160000,-125.820000,0.000000,top
"R28","22","R_0603_1608Metric",112.150000,-127.410000,0.000000,top
"R29","1k","R_0603_1608Metric",110.425000,-130.850000,180.000000,top
"R30","1k","R_0603_1608Metric",110.425000,-129.250000,180.000000,top
"R31","1k","R_0603_1608Metric",87.460000,-109.525000,-90.000000,top
"R32","1k","R_0603_1608Metric",84.950000,-109.525000,-90.000000,top
"R33","1k","R_0603_1608Metric",82.440000,-109.525000,-90.000000,top
"R34","10k","R_0603_1608Metric",101.825000,-100.550000,0.000000,top
"R35","100k","R_0603_1608Metric",96.750000,-119.800000,-90.000000,top
"R36","10k","R_0603_1608Metric",70.950000,-133.725000,-90.000000,top
"SW1","~","Switch-Definitivo",64.100000,-142.375000,180.000000,top
"SW2","~","Switch-Definitivo",127.150000,-125.500000,-90.000000,top
"U1","AMS1117CD-3.3","TO-252-3_TabPin2",99.050000,-69.700000,0.000000,top
"U4","BMI088","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering",100.250000,-108.550000,0.000000,top
"U5","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",111.062500,-101.300000,-90.000000,top
"U6","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",124.800000,-93.000000,0.000000,top
"U7","LM358","SOIC-8_3.9x4.9mm_P1.27mm",79.450000,-93.050000,0.000000,top
"U8","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",98.325000,-137.000000,180.000000,top
